AFFX-BioB-5_at (endogenous control),AFFX-BioB-5_at
AFFX-BioB-M_at (endogenous control),AFFX-BioB-M_at
AFFX-BioB-3_at (endogenous control),AFFX-BioB-3_at
AFFX-BioC-5_at (endogenous control),AFFX-BioC-5_at
AFFX-BioC-3_at (endogenous control),AFFX-BioC-3_at
AFFX-BioDn-5_at (endogenous control),AFFX-BioDn-5_at
AFFX-BioDn-3_at (endogenous control),AFFX-BioDn-3_at
AFFX-CreX-5_at (endogenous control),AFFX-CreX-5_at
AFFX-CreX-3_at (endogenous control),AFFX-CreX-3_at
AFFX-BioB-5_st (endogenous control),AFFX-BioB-5_st
AFFX-BioB-M_st (endogenous control),AFFX-BioB-M_st
AFFX-BioB-3_st (endogenous control),AFFX-BioB-3_st
AFFX-BioC-5_st (endogenous control),AFFX-BioC-5_st
AFFX-BioC-3_st (endogenous control),AFFX-BioC-3_st
AFFX-BioDn-5_st (endogenous control),AFFX-BioDn-5_st
AFFX-BioDn-3_st (endogenous control),AFFX-BioDn-3_st
AFFX-CreX-5_st (endogenous control),AFFX-CreX-5_st
AFFX-CreX-3_st (endogenous control),AFFX-CreX-3_st
hum_alu_at (miscellaneous control),hum_alu_at
AFFX-DapX-5_at (endogenous control),AFFX-DapX-5_at
AFFX-DapX-M_at (endogenous control),AFFX-DapX-M_at
AFFX-DapX-3_at (endogenous control),AFFX-DapX-3_at
AFFX-LysX-5_at (endogenous control),AFFX-LysX-5_at
AFFX-LysX-M_at (endogenous control),AFFX-LysX-M_at
AFFX-LysX-3_at (endogenous control),AFFX-LysX-3_at
AFFX-PheX-5_at (endogenous control),AFFX-PheX-5_at
AFFX-PheX-M_at (endogenous control),AFFX-PheX-M_at
AFFX-PheX-3_at (endogenous control),AFFX-PheX-3_at
AFFX-ThrX-5_at (endogenous control),AFFX-ThrX-5_at
AFFX-ThrX-M_at (endogenous control),AFFX-ThrX-M_at
AFFX-ThrX-3_at (endogenous control),AFFX-ThrX-3_at
AFFX-TrpnX-5_at (endogenous control),AFFX-TrpnX-5_at
AFFX-TrpnX-M_at (endogenous control),AFFX-TrpnX-M_at
AFFX-TrpnX-3_at (endogenous control),AFFX-TrpnX-3_at
AFFX-HUMISGF3A/M97935_5_at (endogenous control),AFFX-HUMISGF3A/M97935_5_at
AFFX-HUMISGF3A/M97935_MA_at (endogenous control),AFFX-HUMISGF3A/M97935_MA_at
AFFX-HUMISGF3A/M97935_MB_at (endogenous control),AFFX-HUMISGF3A/M97935_MB_at
AFFX-HUMISGF3A/M97935_3_at (endogenous control),AFFX-HUMISGF3A/M97935_3_at
AFFX-HUMRGE/M10098_5_at (endogenous control),AFFX-HUMRGE/M10098_5_at
AFFX-HUMRGE/M10098_M_at (endogenous control),AFFX-HUMRGE/M10098_M_at
AFFX-HUMRGE/M10098_3_at (endogenous control),AFFX-HUMRGE/M10098_3_at
AFFX-HUMGAPDH/M33197_5_at (endogenous control),AFFX-HUMGAPDH/M33197_5_at
AFFX-HUMGAPDH/M33197_M_at (endogenous control),AFFX-HUMGAPDH/M33197_M_at
AFFX-HUMGAPDH/M33197_3_at (endogenous control),AFFX-HUMGAPDH/M33197_3_at
AFFX-HSAC07/X00351_5_at (endogenous control),AFFX-HSAC07/X00351_5_at
AFFX-HSAC07/X00351_M_at (endogenous control),AFFX-HSAC07/X00351_M_at
AFFX-HSAC07/X00351_3_at (endogenous control),AFFX-HSAC07/X00351_3_at
AFFX-HUMTFRR/M11507_5_at (endogenous control),AFFX-HUMTFRR/M11507_5_at
AFFX-HUMTFRR/M11507_M_at (endogenous control),AFFX-HUMTFRR/M11507_M_at
AFFX-HUMTFRR/M11507_3_at (endogenous control),AFFX-HUMTFRR/M11507_3_at
AFFX-M27830_5_at (endogenous control),AFFX-M27830_5_at
AFFX-M27830_M_at (endogenous control),AFFX-M27830_M_at
AFFX-M27830_3_at (endogenous control),AFFX-M27830_3_at
AFFX-HSAC07/X00351_3_st (endogenous control),AFFX-HSAC07/X00351_3_st
AFFX-HUMGAPDH/M33197_5_st (endogenous control),AFFX-HUMGAPDH/M33197_5_st
