AFFX-MurIL2_at (spiked control),AFFX-MurIL2_at
AFFX-MurIL10_at (spiked control),AFFX-MurIL10_at
AFFX-MurIL4_at (spiked control),AFFX-MurIL4_at
AFFX-MurFAS_at (spiked control),AFFX-MurFAS_at
AFFX-BioB-5_at (spiked control),AFFX-BioB-5_at
AFFX-BioB-M_at (spiked control),AFFX-BioB-M_at
AFFX-BioB-3_at (spiked control),AFFX-BioB-3_at
AFFX-BioC-5_at (spiked control),AFFX-BioC-5_at
AFFX-BioC-3_at (spiked control),AFFX-BioC-3_at
AFFX-BioDn-5_at (spiked control),AFFX-BioDn-5_at
AFFX-BioDn-3_at (spiked control),AFFX-BioDn-3_at
AFFX-CreX-5_at (spiked control),AFFX-CreX-5_at
AFFX-CreX-3_at (spiked control),AFFX-CreX-3_at
AFFX-BioB-5_st (spiked control),AFFX-BioB-5_st
AFFX-BioB-M_st (spiked control),AFFX-BioB-M_st
AFFX-BioB-3_st (spiked control),AFFX-BioB-3_st
AFFX-BioC-5_st (spiked control),AFFX-BioC-5_st
AFFX-BioC-3_st (spiked control),AFFX-BioC-3_st
AFFX-BioDn-5_st (spiked control),AFFX-BioDn-5_st
AFFX-BioDn-3_st (spiked control),AFFX-BioDn-3_st
AFFX-CreX-5_st (spiked control),AFFX-CreX-5_st
AFFX-CreX-3_st (spiked control),AFFX-CreX-3_st
AFFX-hum_alu_at (miscellaneous control),AFFX-hum_alu_at
AFFX-DapX-5_at (spiked control),AFFX-DapX-5_at
AFFX-DapX-M_at (spiked control),AFFX-DapX-M_at
AFFX-DapX-3_at (spiked control),AFFX-DapX-3_at
AFFX-LysX-5_at (spiked control),AFFX-LysX-5_at
AFFX-LysX-M_at (spiked control),AFFX-LysX-M_at
AFFX-LysX-3_at (spiked control),AFFX-LysX-3_at
AFFX-PheX-5_at (spiked control),AFFX-PheX-5_at
AFFX-PheX-M_at (spiked control),AFFX-PheX-M_at
AFFX-PheX-3_at (spiked control),AFFX-PheX-3_at
AFFX-ThrX-5_at (spiked control),AFFX-ThrX-5_at
AFFX-ThrX-M_at (spiked control),AFFX-ThrX-M_at
AFFX-ThrX-3_at (spiked control),AFFX-ThrX-3_at
AFFX-TrpnX-5_at (spiked control),AFFX-TrpnX-5_at
AFFX-TrpnX-M_at (spiked control),AFFX-TrpnX-M_at
AFFX-TrpnX-3_at (spiked control),AFFX-TrpnX-3_at
AFFX-HUMISGF3A/M97935_5_at (endogenous control),AFFX-HUMISGF3A/M97935_5_at
AFFX-HUMISGF3A/M97935_MA_at (endogenous control),AFFX-HUMISGF3A/M97935_MA_at
AFFX-HUMISGF3A/M97935_MB_at (endogenous control),AFFX-HUMISGF3A/M97935_MB_at
AFFX-HUMISGF3A/M97935_3_at (endogenous control),AFFX-HUMISGF3A/M97935_3_at
AFFX-HUMRGE/M10098_5_at (endogenous control),AFFX-HUMRGE/M10098_5_at
AFFX-HUMRGE/M10098_M_at (endogenous control),AFFX-HUMRGE/M10098_M_at
AFFX-HUMRGE/M10098_3_at (endogenous control),AFFX-HUMRGE/M10098_3_at
AFFX-HUMGAPDH/M33197_5_at (endogenous control),AFFX-HUMGAPDH/M33197_5_at
AFFX-HUMGAPDH/M33197_M_at (endogenous control),AFFX-HUMGAPDH/M33197_M_at
AFFX-HUMGAPDH/M33197_3_at (endogenous control),AFFX-HUMGAPDH/M33197_3_at
AFFX-HSAC07/X00351_5_at (endogenous control),AFFX-HSAC07/X00351_5_at
AFFX-HSAC07/X00351_M_at (endogenous control),AFFX-HSAC07/X00351_M_at
AFFX-HSAC07/X00351_3_at (endogenous control),AFFX-HSAC07/X00351_3_at
AFFX-HUMTFRR/M11507_5_at (endogenous control),AFFX-HUMTFRR/M11507_5_at
AFFX-HUMTFRR/M11507_M_at (endogenous control),AFFX-HUMTFRR/M11507_M_at
AFFX-HUMTFRR/M11507_3_at (endogenous control),AFFX-HUMTFRR/M11507_3_at
AFFX-M27830_5_at (endogenous control),AFFX-M27830_5_at
AFFX-M27830_M_at (endogenous control),AFFX-M27830_M_at
AFFX-M27830_3_at (endogenous control),AFFX-M27830_3_at
AFFX-HSAC07/X00351_3_st (endogenous control),AFFX-HSAC07/X00351_3_st
AFFX-HUMGAPDH/M33197_5_st (endogenous control),AFFX-HUMGAPDH/M33197_5_st
AFFX-HUMGAPDH/M33197_M_st (endogenous control),AFFX-HUMGAPDH/M33197_M_st
AFFX-HUMGAPDH/M33197_3_st (endogenous control),AFFX-HUMGAPDH/M33197_3_st
AFFX-HSAC07/X00351_5_st (endogenous control),AFFX-HSAC07/X00351_5_st
AFFX-HSAC07/X00351_M_st (endogenous control),AFFX-HSAC07/X00351_M_st
AFFX-YEL002c/WBP1_at (endogenous control),AFFX-YEL002c/WBP1_at
AFFX-YEL018w/_at (endogenous control),AFFX-YEL018w/_at
AFFX-YEL024w/RIP1_at (endogenous control),AFFX-YEL024w/RIP1_at
AFFX-YEL021w/URA3_at (endogenous control),AFFX-YEL021w/URA3_at
Cluster Incl. L17325:Human pre-T/NK cell associated protein (1D12A2) mRNA, complete cds /cds=(4,63) /gb=L17325 /gi=306322 /ug=Hs.278 /len=492,31307_at
Cluster Incl. L17330:Human pre-T/NK cell associated protein (6H9A) mRNA, complete cds /cds=(94,267) /gb=L17330 /gi=306436 /ug=Hs.280 /len=641,31308_at
Cluster Incl. U50277:Human breast cancer suppressor element Ishmael Upper CP1 mRNA, partial cds /cds=(0,95) /gb=U50277 /gi=1224126 /ug=Hs.121485 /len=132,31309_r_at
Cluster Incl. X52009:H.sapiens alpha-1 strychnine binding subunit of inhibitory glycine receptor mRNA /cds=(296,1645) /gb=X52009 /gi=31850 /ug=Hs.121490 /len=1715,31310_at
Cluster Incl. X61070:Human mRNA for T cell receptor, clone IGRA15 /cds=(0,356) /gb=X61070 /gi=33508 /ug=Hs.121492 /len=425,31311_at
Cluster Incl. U69962:Human delayed rectifier potassium channel protein mRNA, complete cds /cds=(2,2422) /gb=U69962 /gi=1546838 /ug=Hs.121498 /len=2435,31312_at
Cluster Incl. D17716:Human mRNA for N-acetylglucosaminyltransferase V, complete cds /cds=(145,2370) /gb=D17716 /gi=469489 /ug=Hs.121502 /len=2421,31313_at
Cluster Incl. M22491:Human bone morphogenetic protein-3 (BMP-3) mRNA /cds=(320,1738) /gb=M22491 /gi=179505 /ug=Hs.121507 /len=1774,31314_at
Cluster Incl. D84143:Human immunoglobulin (mAb59) light chain V region mRNA, partial sequence /cds=(0,333) /gb=D84143 /gi=1255613 /ug=Hs.121508 /len=334,31315_at
Cluster Incl. L09234:Human vacuolar ATPase (isoform HO68) mRNA, complete cds /cds=(59,1906) /gb=L09234 /gi=291865 /ug=Hs.603 /len=3118,31316_at
Cluster Incl. M21388:Human unproductively rearranged Ig mu-chain mRNA V-region (VD), 5  end, clone mu-3A1A /cds=(0,89) /gb=M21388 /gi=185160 /ug=Hs.123017 /len=141,31317_r_at
Cluster Incl. S80491:stem cell factor {alternatively spliced} [human, preimplantation embryos, blastocysts, mRNA Partial, 180 nt] /cds=(0,113) /gb=S80491 /gi=1246099 /ug=Hs.123028 /len=180,31318_at
